Symbol,Sector,industry
ALTR,Technology,Semiconductors
ASPS,Consumer Services,Other Consumer Services
AIMC,Capital Goods,Industrial Machinery/Components
AMAG,Health Care,Major Pharmaceuticals
AMRN,Health Care,Major Pharmaceuticals
AMRK,Basic Industries,Other Specialty Stores
AYA,Technology,"Computer Software: Programming, Data Processing"
AMZN,Consumer Services,Catalog/Specialty Distribution
AMBC,Finance,Property-Casualty Insurers
AMBCW,Finance,Property-Casualty Insurers
AMBA,Technology,Semiconductors
AMCX,Consumer Services,Television Services
DOX,Technology,EDP Services
AMDA,Health Care,Medical/Dental Instruments
AMED,Health Care,Medical/Nursing Services
UHAL,Consumer Services,Rental/Leasing Companies
ASBI,Finance,Savings Institutions
ATAX,Finance,Finance: Consumer Services
AMOV,Public Utilities,Telecommunications Equipment
AAL,Transportation,Air Freight/Delivery Services
AGNC,Consumer Services,Real Estate Investment Trusts
AGNCB,Consumer Services,Real Estate Investment Trusts
AGNCP,Consumer Services,Real Estate Investment Trusts
MTGE,Consumer Services,Real Estate Investment Trusts
MTGEP,Consumer Services,Real Estate Investment Trusts
ACSF,n/a,n/a
ACAS,n/a,n/a
GNOW,Health Care,Hospital/Nursing Management
AETI,Energy,Industrial Machinery/Components
AMIC,Finance,Accident &Health Insurance
AMNB,Finance,Major Banks
ANAT,Finance,Life Insurance
APEI,Consumer Services,Other Consumer Services
ARII,Capital Goods,Railroads
AMRB,Finance,Major Banks
ASEI,Health Care,Medical Electronics
AMSWA,Technology,Computer Software: Prepackaged Software
AMSC,Consumer Durables,Metal Fabrications
AMWD,Basic Industries,Forest Products
CRMT,Consumer Durables,Automotive Aftermarket
ABCB,Finance,Major Banks
AMSF,Finance,Property-Casualty Insurers
ASRV,Finance,Major Banks
ASRVP,Finance,Major Banks
ATLO,Finance,Major Banks
AMGN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FOLD,Health Care,Major Pharmaceuticals
AMKR,Technology,Semiconductors
AMPH,Health Care,Major Pharmaceuticals
AMSG,Health Care,Medical/Nursing Services
AMSGP,Health Care,Medical/Nursing Services
ASYS,Technology,Industrial Machinery/Components
AFSI,Finance,Property-Casualty Insurers
AMRS,Basic Industries,Major Chemicals
ANAC,Health Care,Major Pharmaceuticals
ANAD,Technology,Semiconductors
ADI,Technology,Semiconductors
ALOG,Capital Goods,Electrical Products
AVXL,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ANCB,Finance,Banks
ABCW,Finance,Banks
ANDAU,n/a,n/a
ANGI,Consumer Services,Advertising
ANGO,Health Care,Medical/Dental Instruments
ANIP,Health Care,Major Pharmaceuticals
ANIK,Health Care,Medical/Dental Instruments
ANSS,Technology,Computer Software: Prepackaged Software
ATRS,Health Care,Medical/Dental Instruments
ANTH,Health Care,Major Pharmaceuticals
ABAC,Consumer Non-Durables,Farming/Seeds/Milling
ATNY,Technology,Semiconductors
APIC,Technology,Computer Software: Prepackaged Software
APOG,Capital Goods,Auto Parts:O.E.M.
APOL,Consumer Services,Other Consumer Services
AINV,n/a,n/a
APPF,Technology,Computer Software: Prepackaged Software
AAPL,Technology,Computer Manufacturing
ARCI,Consumer Services,Home Furnishings
APDN,Consumer Services,Other Consumer Services
APDNW,Consumer Services,Other Consumer Services
AGTC,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMAT,Technology,Semiconductors
AMCC,Technology,Semiconductors
AAOI,Technology,Semiconductors
AREX,Energy,Oil & Gas Production
APRI,Health Care,Major Pharmaceuticals
APTO,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AQMS,Basic Industries,Metal Fabrications
AQXP,Health Care,Major Pharmaceuticals
AUMA,Finance,Business Services
AUMAU,Finance,Business Services
AUMAW,Finance,Business Services
ARDM,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
PETX,Health Care,Major Pharmaceuticals
ABUS,Health Care,Major Pharmaceuticals
ARCW,Capital Goods,Metal Fabrications
ABIO,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
RKDA,Basic Industries,Agricultural Chemicals
ARCB,Transportation,Trucking Freight/Courier Services
ACGL,Finance,Property-Casualty Insurers
APLP,Public Utilities,Natural Gas Distribution
ACAT,Capital Goods,Industrial Specialties
ARDX,Health Care,Major Pharmaceuticals
ARNA,Health Care,Major Pharmaceuticals
ARCC,n/a,n/a
AGII,Finance,Specialty Insurers
AGIIL,Finance,Specialty Insurers
ARGS,Health Care,Major Pharmaceuticals
ARIS,Technology,"Computer Software: Programming, Data Processing"
ARIA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARKR,Consumer Services,Restaurants
ARMH,Technology,Semiconductors
ARTX,Miscellaneous,Industrial Machinery/Components
ARWA,Finance,Business Services
ARWAR,Finance,Business Services
ARWAU,Finance,Business Services
ARWAW,Finance,Business Services
ARQL,Health Care,Major Pharmaceuticals
ARRY,Health Care,Major Pharmaceuticals
ARRS,Technology,Radio And Television Broadcasting And Communications Equipment
DWAT,n/a,n/a
AROW,Finance,Major Banks
ARWR,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ARTNA,Public Utilities,Water Supply
ARTW,Capital Goods,Industrial Machinery/Components
ASBB,Finance,Savings Institutions
ASNA,Consumer Services,Clothing/Shoe/Accessory Stores
ASND,Health Care,Major Pharmaceuticals
ASCMA,Consumer Services,Other Consumer Services
ASTI,Technology,Semiconductors
APWC,Basic Industries,Telecommunications Equipment
ASML,Technology,Industrial Machinery/Components
AZPN,Technology,EDP Services
ASMB,Health Care,Major Pharmaceuticals
ASFI,Finance,Finance Companies
ASTE,Capital Goods,Construction/Ag Equipment/Trucks
ALOT,Technology,Computer peripheral equipment
ATRO,Capital Goods,Military/Government/Technical
ASTC,Capital Goods,Military/Government/Technical
ASUR,Technology,EDP Services
ATAI,Consumer Services,Other Consumer Services
ATRA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATHN,Miscellaneous,Business Services
AFCB,Finance,Savings Institutions
ATHX,Health Care,Major Pharmaceuticals
AAPC,Finance,Business Services
AAME,Finance,Life Insurance
ACBI,Finance,Major Banks
ACFC,Finance,Savings Institutions
ATNI,Public Utilities,Telecommunications Equipment
ATLC,Finance,Finance: Consumer Services
AAWW,Transportation,Transportation Services
AFH,Finance,Property-Casualty Insurers
ATML,Technology,Semiconductors
ATOS,Health Care,Medical/Dental Instruments
ATRC,Health Care,Medical/Dental Instruments
ATRI,Health Care,Medical/Dental Instruments
ATTU,Technology,Computer Software: Prepackaged Software
LIFE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AUBN,Finance,Major Banks
AUDC,Public Utilities,Telecommunications Equipment
AUPH,Health Care,Major Pharmaceuticals
EARS,Health Care,Major Pharmaceuticals
ADAT,Technology,EDP Services
ABTL,Technology,"Computer Software: Programming, Data Processing"
ADSK,Technology,Computer Software: Prepackaged Software
ADP,Technology,EDP Services
AVGO,Technology,Semiconductors
AAVL,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVNU,Finance,Major Banks
AVEO,Health Care,Major Pharmaceuticals
AVNW,Technology,Radio And Television Broadcasting And Communications Equipment
AVID,Miscellaneous,Industrial Machinery/Components
AVGR,Health Care,Medical/Dental Instruments
CAR,Consumer Services,Rental/Leasing Companies
AWRE,Technology,Computer Software: Prepackaged Software
ACLS,Technology,Industrial Machinery/Components
AXPW,Miscellaneous,Industrial Machinery/Components
AXPWW,Miscellaneous,Industrial Machinery/Components
AXGN,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AXSM,Health Care,Major Pharmaceuticals
AXTI,Technology,Semiconductors
BCOM,Consumer Services,Telecommunications Equipment
RILY,Miscellaneous,Business Services
BOSC,Technology,Computer Communications Equipment
BEAV,Consumer Durables,Industrial Specialties
BIDU,Technology,"Computer Software: Programming, Data Processing"
BCPC,Basic Industries,Major Chemicals
BWINA,Finance,Property-Casualty Insurers
BWINB,Finance,Property-Casualty Insurers
BLDP,Energy,Industrial Machinery/Components
BANF,Finance,Major Banks
BANFP,Finance,Major Banks
BKMU,Finance,Savings Institutions
BOCH,Finance,Major Banks
BMRC,Finance,Major Banks
BKSC,Finance,Major Banks
BOTJ,Finance,Major Banks
OZRK,Finance,Major Banks
BFIN,Finance,Savings Institutions
BWFG,Finance,Major Banks
BANR,Finance,Major Banks
BZUN,Consumer Services,Catalog/Specialty Distribution
TAPR,Finance,Commercial Banks
BHAC,Finance,Business Services
BHACR,Finance,Business Services
BHACU,Finance,Business Services
BHACW,Finance,Business Services
BBSI,Technology,Professional Services
BSET,Consumer Durables,Home Furnishings
BYBK,Finance,Major Banks
BYLK,Finance,Major Banks
BV,Technology,Computer Software: Prepackaged Software
BBCN,Finance,Major Banks
BCBP,Finance,Savings Institutions
BDCV,n/a,n/a
BECN,Consumer Services,RETAIL: Building Materials
BSF,Finance,Major Banks
BBGI,Consumer Services,Broadcasting
BEBE,Consumer Non-Durables,Apparel
BBBY,Consumer Services,Home Furnishings
BELFA,Capital Goods,Electrical Products
BELFB,Capital Goods,Electrical Products
BLPH,Health Care,Major Pharmaceuticals
BLCM,Health Care,Major Pharmaceuticals
BNCL,Finance,Savings Institutions
BNFT,Technology,Computer Software: Prepackaged Software
BNTC,Health Care,Major Pharmaceuticals
BNTCW,Health Care,Major Pharmaceuticals
BGCP,Finance,Investment Bankers/Brokers/Service
BGFV,Consumer Services,Other Specialty Stores
BIND,Health Care,Major Pharmaceuticals
ORPN,Health Care,Major Pharmaceuticals
BASI,Health Care,Biotechnology: Commercial Physical & Biological Resarch
BIOC,Health Care,Medical Specialities
BCRX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BIOD,Health Care,Major Pharmaceuticals
BDSI,Health Care,Major Pharmaceuticals
BIIB,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BIOL,Health Care,Medical/Dental Instruments
BLFS,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BLRX,Health Care,Major Pharmaceuticals
BMRN,Health Care,Major Pharmaceuticals
BVXV,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BVXVW,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BPTH,Health Care,Major Pharmaceuticals
BIOS,Health Care,Medical/Nursing Services
BBC,n/a,n/a
BBP,n/a,n/a
BSTC,Health Care,Major Pharmaceuticals
BSPM,Health Care,Major Pharmaceuticals
BOTA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TECH,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BEAT,Health Care,Medical/Dental Instruments
BITI,Health Care,Major Pharmaceuticals
BDMS,Health Care,Medical/Nursing Services
BJRI,Consumer Services,Restaurants
BBOX,Technology,Computer Communications Equipment
BDE,Consumer Non-Durables,Recreational Products/Toys
BLKB,Technology,Computer Software: Prepackaged Software
BBRY,Public Utilities,Telecommunications Equipment
HAWK,Finance,Finance: Consumer Services
BKCC,n/a,n/a
ADRA,n/a,n/a
ADRD,n/a,n/a
ADRE,n/a,n/a
ADRU,n/a,n/a
BLMN,Consumer Services,Restaurants
BCOR,Technology,EDP Services
BLBD,Capital Goods,Construction/Ag Equipment/Trucks
BUFF,Consumer Non-Durables,Packaged Foods
BBLU,Public Utilities,Electric Utilities: Central
BHBK,Finance,Major Banks
NILE,Consumer Services,Consumer Specialties
BLUE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BKEP,Energy,Natural Gas Distribution
BKEPP,Energy,Natural Gas Distribution
BPMC,Health Care,Major Pharmaceuticals
ITEQ,n/a,n/a
BNCN,Finance,Major Banks
BOBE,Consumer Services,Restaurants
BOFI,Finance,Savings Institutions
WIFI,Consumer Services,Telecommunications Equipment
BOJA,Consumer Services,Restaurants
BOKF,Finance,Major Banks
BONA,Consumer Services,Movies/Entertainment
BNSO,Capital Goods,Industrial Machinery/Components
BAMM,Consumer Services,Other Specialty Stores
BPFH,Finance,Major Banks
BPFHP,Finance,Major Banks
BPFHW,Finance,Major Banks
EPAY,Technology,Computer Software: Prepackaged Software
BDBD,Consumer Non-Durables,Packaged Foods
BLVD,Finance,Business Services
BLVDU,Finance,Business Services
BLVDW,Finance,Business Services
BOXL,n/a,n/a
BCLI,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BBRG,Consumer Services,Restaurants
BBEP,Energy,Oil & Gas Production
BBEPP,Energy,Oil & Gas Production
BDGE,Finance,Major Banks
BLIN,Technology,Computer Software: Prepackaged Software
BRID,Consumer Non-Durables,Specialty Foods
BCOV,Technology,EDP Services
BRCM,Technology,Semiconductors
BSFT,Technology,Computer Software: Prepackaged Software
BVSN,Technology,Computer Software: Prepackaged Software
BYFC,Finance,Savings Institutions
BWEN,Capital Goods,Metal Fabrications
BRCD,Technology,Computer Communications Equipment
BRKL,Finance,Savings Institutions
BRKS,Technology,Industrial Machinery/Components
BRKR,Capital Goods,Biotechnology: Laboratory Analytical Instruments
BMTC,Finance,Major Banks
BLMT,Finance,Major Banks
BSQR,Miscellaneous,Business Services
BWLD,Consumer Services,Restaurants
BLDR,Consumer Services,RETAIL: Building Materials
BUR,Consumer Non-Durables,Packaged Foods
CFFI,Finance,Major Banks
CHRW,Transportation,Oil Refining/Marketing
CA,Technology,Computer Software: Prepackaged Software
CCMP,Technology,Semiconductors
CDNS,Technology,Computer Software: Prepackaged Software
CDZI,Public Utilities,Water Supply
CACQ,Consumer Services,Hotels/Resorts
CZR,Consumer Services,Hotels/Resorts
CSTE,Capital Goods,Building Materials
PRSS,Consumer Services,Other Specialty Stores
CLBS,Health Care,Hospital/Nursing Management
CLMS,Finance,Investment Bankers/Brokers/Service
CHY,n/a,n/a
CHI,n/a,n/a
CCD,n/a,n/a
CFGE,n/a,n/a
CHW,n/a,n/a
CGO,n/a,n/a
CSQ,n/a,n/a
CAMP,Technology,Radio And Television Broadcasting And Communications Equipment
CVGW,Consumer Non-Durables,Farming/Seeds/Milling
CFNB,Finance,Major Banks
CALA,Health Care,Major Pharmaceuticals
CALD,Technology,EDP Services
CALM,Consumer Non-Durables,Farming/Seeds/Milling
CLMT,Energy,Integrated oil Companies
ABCD,Consumer Services,Publishing
CAMB,Finance,Business Services
CAMBU,Finance,Business Services
CAMBW,Finance,Business Services
CAC,Finance,Major Banks
CAMT,Capital Goods,Electronic Components
CSIQ,Technology,Semiconductors
CGIX,Health Care,Medical Specialities
CPHC,Consumer Services,Services-Misc. Amusement & Recreation
CBNJ,Finance,Major Banks
CPLA,Consumer Services,Other Consumer Services
CBF,Finance,Major Banks
CCBG,Finance,Major Banks
CPLP,Transportation,Marine Transportation
CSWC,n/a,n/a
CPTA,n/a,n/a
CLACU,Finance,Business Services
CFFN,Finance,Savings Institutions
CAPN,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CAPNW,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CAPR,Health Care,Major Pharmaceuticals
CPST,Energy,Industrial Machinery/Components
CARA,Health Care,Major Pharmaceuticals
CARB,Technology,EDP Services
CBYL,Health Care,Major Pharmaceuticals
CRDC,Health Care,Medical/Dental Instruments
CFNL,Finance,Major Banks
CRME,Health Care,Major Pharmaceuticals
CSII,Health Care,Medical/Dental Instruments
CATM,Miscellaneous,Business Services
CDNA,Health Care,Medical Specialities
CECO,Consumer Services,Other Consumer Services
CTRE,Consumer Services,Real Estate Investment Trusts
CKEC,Consumer Services,Movies/Entertainment
CLBH,Finance,Major Banks
CARO,Finance,Major Banks
CART,n/a,n/a
CRZO,Energy,Oil & Gas Production
TAST,Consumer Services,Restaurants
CRTN,Consumer Services,Professional Services
CARV,Finance,Savings Institutions
CASM,Health Care,Medical/Dental Instruments
CACB,Finance,Major Banks
CSCD,Capital Goods,Electrical Products
CWST,Public Utilities,Environmental Services
CASY,Consumer Durables,Automotive Aftermarket
CASI,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CASS,Miscellaneous,Business Services
CATB,Health Care,Major Pharmaceuticals
CBIO,Health Care,Major Pharmaceuticals
CPRX,Health Care,Major Pharmaceuticals
CATY,Finance,Major Banks
CATYW,Finance,Major Banks
CVCO,Basic Industries,Homebuilding
CAVM,Technology,Semiconductors
CBFV,Finance,Major Banks
CNLM,Finance,Business Services
CNLMR,Finance,Business Services
CNLMU,Finance,Business Services
CNLMW,Finance,Business Services
CBOE,Finance,Investment Bankers/Brokers/Service
CDK,Miscellaneous,Business Services
CDW,Consumer Services,Catalog/Specialty Distribution
CECE,Capital Goods,Pollution Control Equipment
CPXX,Health Care,Major Pharmaceuticals
CELG,Health Care,Major Pharmaceuticals
CELGZ,Health Care,Major Pharmaceuticals
CLDN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLDX,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
CLRB,Health Care,Major Pharmaceuticals
CLRBW,Health Care,Major Pharmaceuticals
CLLS,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CBMG,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLSN,Health Care,Major Pharmaceuticals
CYAD,Health Care,Major Pharmaceuticals
CEMP,Health Care,Major Pharmaceuticals
CETX,Capital Goods,Industrial Machinery/Components
CSFL,Finance,Major Banks
CETV,Consumer Services,Broadcasting
CFBK,Finance,Savings Institutions
CENT,Consumer Durables,Consumer Specialties
CENTA,Consumer Durables,Consumer Specialties
CVCY,Finance,Major Banks
CFCB,Finance,Major Banks
CENX,Basic Industries,Aluminum
CNBKA,Finance,Major Banks
CNTY,Consumer Services,Hotels/Resorts
CPHD,Capital Goods,Biotechnology: Laboratory Analytical Instruments
CRNT,Technology,Radio And Television Broadcasting And Communications Equipment
CERC,Health Care,Major Pharmaceuticals
CERCW,Health Care,Major Pharmaceuticals
CERCZ,Health Care,Major Pharmaceuticals
CERE,Consumer Non-Durables,Farming/Seeds/Milling
CERN,Technology,EDP Services
CERU,Health Care,Major Pharmaceuticals
CERS,Health Care,Medical/Dental Instruments
KOOL,Capital Goods,Medical Specialities
CEVA,Technology,Semiconductors
CSBR,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CYOU,Technology,Computer Software: Prepackaged Software
HOTR,Consumer Services,Restaurants
HOTRW,Consumer Services,Restaurants
CTHR,Consumer Durables,Consumer Specialties
GTLS,Capital Goods,Metal Fabrications
CHTR,Consumer Services,Television Services
CHFN,Finance,Savings Institutions
CHKP,Technology,Computer Software: Prepackaged Software
CHEK,Health Care,Medical Electronics
CHEKW,Health Care,Medical Electronics
CEMI,Health Care,Major Pharmaceuticals
CHFC,Finance,Major Banks
CCXI,Health Care,Major Pharmaceuticals
CHMG,Finance,Major Banks
CHKE,Consumer Non-Durables,Apparel
CHEV,Finance,Savings Institutions
CHMA,Health Care,Major Pharmaceuticals
CBNK,Finance,Banks
PLCE,Consumer Services,Clothing/Shoe/Accessory Stores
CMRX,Health Care,Major Pharmaceuticals
CADC,Basic Industries,Engineering & Construction
CALI,Consumer Services,Motor Vehicles
CAAS,Capital Goods,Auto Parts:O.E.M.
CBAK,Miscellaneous,Industrial Machinery/Components
CBPO,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CCCL,Capital Goods,Building Materials
CCCR,Finance,Major Banks
JRJC,Finance,Investment Bankers/Brokers/Service
HGSH,Finance,Real Estate
CHLN,Basic Industries,Homebuilding
CNIT,Technology,Computer Software: Prepackaged Software
CJJD,Consumer Durables,Specialty Chemicals
HTHT,Consumer Services,Hotels/Resorts
CHNR,Basic Industries,Precious Metals
CREG,Miscellaneous,Business Services
CSUN,Technology,Semiconductors
CNTF,Miscellaneous,Business Services
CXDC,Capital Goods,Containers/Packaging
CNYD,Consumer Services,Advertising
CCIH,Technology,EDP Services
CNET,Technology,Advertising
IMOS,Technology,Semiconductors
CHSCL,Consumer Services,Farming/Seeds/Milling
CHSCM,Consumer Services,Farming/Seeds/Milling
CHSCN,Consumer Services,Farming/Seeds/Milling
CHSCO,Consumer Services,Farming/Seeds/Milling
CHSCP,Consumer Services,Farming/Seeds/Milling
CHDN,Consumer Services,Services-Misc. Amusement & Recreation
CHUY,Consumer Services,Restaurants
CDTX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CIFC,Finance,Finance: Consumer Services
CMCT,Consumer Services,Real Estate Investment Trusts
CMPR,Miscellaneous,Publishing
CINF,Finance,Property-Casualty Insurers
CIDM,Consumer Services,Consumer Electronics/Video Chains
CTAS,Consumer Non-Durables,Apparel
CPHR,Health Care,Major Pharmaceuticals
CRUS,Technology,Semiconductors
CSCO,Technology,Computer Communications Equipment
CTRN,Consumer Services,Clothing/Shoe/Accessory Stores
CZNC,Finance,Major Banks
CZWI,Finance,Savings Institutions
CZFC,Finance,Major Banks
CIZN,Finance,Major Banks
CTXS,Technology,Computer Software: Prepackaged Software
CHCO,Finance,Major Banks
CIVB,Finance,Major Banks
CIVBP,Finance,Major Banks
CDTI,Capital Goods,Pollution Control Equipment
CLNE,Public Utilities,Natural Gas Distribution
CLNT,Technology,Industrial Machinery/Components
CLFD,Public Utilities,Telecommunications Equipment
CLRO,Public Utilities,Telecommunications Equipment
CLIR,Capital Goods,Industrial Machinery/Components
CBLI,Health Care,Biotechnology: Commercial Physical & Biological Resarch
CSBK,Finance,Savings Institutions
CLVS,Health Care,Major Pharmaceuticals
CMFN,n/a,n/a
CME,Finance,Investment Bankers/Brokers/Service
CCNE,Finance,Major Banks
CISG,Finance,Specialty Insurers
CNV,Consumer Services,Catalog/Specialty Distribution
CWAY,Finance,Savings Institutions
COBZ,Finance,Major Banks
COKE,Consumer Non-Durables,Beverages (Production/Distribution)
CDRB,Technology,Computer Software: Prepackaged Software
CDXS,Basic Industries,Major Chemicals
CVLY,Finance,Savings Institutions
JVA,Consumer Non-Durables,Food Distributors
CCOI,Technology,Computer Software: Prepackaged Software
CGNT,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CGNX,Capital Goods,Industrial Machinery/Components
CTSH,Technology,EDP Services
COHR,Capital Goods,Biotechnology: Laboratory Analytical Instruments
CHRS,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
COHU,Capital Goods,Electrical Products
CLCT,Miscellaneous,Business Services
COLL,Health Care,Major Pharmaceuticals
CIGI,Finance,Real Estate
CBAN,Finance,Major Banks
